Input 1,Input 2,Input 3,Input 4,Input 5,Input 6,Input 7,Input 8,Input 9,Input 10,Input 11,Input 12,Input 13,Output 1,Output 2,Output 3,Output 4
15.4255864,482,29.6,19.5,31,481.659,25.451,13.132,1.341,8.185,26.88,2.32,14.436,33.96178057,1.381613943,1.746115021,0.091990854
6.012496159,454,22.2,17.2,23,145.684,27.266,41.975,1.968,14.175,60.961,2.13,11.523,13.72283289,0.71972101,0.961664505,0.047870796
18.46768411,349,34.6,17.5,26,145.188,24.524,42.107,1.385,5.555,60.364,1.465,14.993,33.31114056,2.039087444,2.00185301,0.170061256
9.63843081,245,20.8,13.7,27,279.248,30.854,22.305,1.899,11.915,19.3,1.568,19.672,16.4967462,1.025750221,1.718556408,0.119297164
20.87473113,456,34.7,27.5,30,257.605,28.674,21.005,1.933,4.681,14.466,2.303,19.282,38.16998589,1.718824241,3.311468056,0.091264614
7.282597562,320,14.1,7.8,30,388.392,30.729,23.641,2.085,13.212,30.888,1.242,6.378,13.85723581,0.735022248,0.861032761,0.054428393
16.61374577,196,47.4,38.9,15,132.341,15.276,63.624,2.008,14.533,70.145,2.204,8.039,7.765312406,0.754279076,4.56874285,0.350141925
90.30011267,246,50.4,27.8,24,455.363,26.389,22.134,1.276,10.862,65.411,1.742,14.37,148.7291247,8.743480679,19.09740384,1.000547675
10.90853221,219,20.1,14.3,22,242.431,24.002,32.486,1.987,14.637,47.269,1.467,5.762,17.14700394,1.183443996,1.931039793,0.129830667
118.5905972,272,56.5,35.1,31,400.14,33.131,38.742,2.324,2.626,77.555,2.35,19.306,235.0628384,11.83544402,29.98115828,0.764841651
22.28823108,356,38.4,20.3,21,225.365,21.325,66.723,1.316,12.846,73.37,1.296,7.006,15.52036461,1.181009403,6.491847366,0.451437993
102.8167571,210,57.8,31.3,25,252.546,27.115,13.025,1.84,2.252,49.766,1.981,9.829,120.320212,9.134070011,11.64702273,0.890815601
72.26262419,320,45.2,26.1,29,433.007,23.203,1.515,2.231,8.519,5.298,2.345,15.192,116.4837402,5.82526621,5.717775312,0.433292292
5.623271535,90,30.1,24.9,19,447.635,22.005,65.432,2.414,7.901,43.932,1.902,16.478,0.401569147,0.032582513,0.449420941,0.055943765
3.564478132,338,12.9,6.8,29,260.903,25.34,16.972,2.294,3.46,33.775,1.56,17.906,4.097919962,0.216413083,0.149389411,0.016349737
51.75663218,384,54.9,43.8,18,157.1,20.013,45.899,2.461,5.934,11.279,2.016,17.419,116.8760356,6.864256073,12.9017635,0.614306027
7.702550446,361,20.2,14.9,34,348.565,39.815,11.354,1.713,6.791,16.802,1.572,13.42,13.34253955,0.644101318,0.825083265,0.023957072
20.01433985,412,38.7,23.8,26,135.491,22.222,13.208,1.95,12.271,76.516,2.421,16.335,40.40849218,2.168581472,3.464291825,0.244111998
15.98893783,201,32,23.9,15,285.908,15.839,24.191,2.405,6.103,73.808,1.208,10.265,17.9884884,1.337994252,1.401148418,0.138777568
13.11072416,438,41.8,36.6,18,169.104,21.527,30.33,2.348,3.883,51.013,1.907,14.604,32.08540422,2.213037266,3.563896896,0.273835948
20.08603913,189,36.8,23.8,33,310.487,34.679,33.913,1.417,6.922,47.012,2.104,7.556,22.40560638,1.785273344,3.096056606,0.201553344
36.64857114,160,47.4,34.7,28,326.522,30.258,7.681,2.202,2.151,31.229,1.464,14.969,34.23063602,2.791543413,0.785699202,0.191293465
8.88046707,452,22.2,17,34,476.137,32.138,65.609,1.662,6.567,51.757,2.11,12.427,18.11706587,0.85905621,2.616988838,0.090106511
27.7168903,392,58.2,43.2,21,414.462,20.537,24.519,2.357,8.794,36.722,1.59,8.757,42.70340686,2.01604361,3.936750694,0.224522815
8.890709823,367,15.9,8.3,28,167.284,23.15,12.861,1.78,5.357,30.987,1.467,6.019,14.0942712,0.792686562,1.43916962,0.072585064
14.62665164,349,23.7,16.2,25,258.645,20.906,61.759,1.632,6.939,38.179,2.001,7.397,29.27747069,1.624787626,3.147198137,0.14401535
10.59100686,471,27.9,22.9,16,334.89,17.784,2.63,2.279,7.463,54.925,2.245,15.38,18.15304171,0.841042768,1.948997586,0.11201254
8.982894602,204,19.2,12.4,23,398,20.441,0.213,2.333,14.973,25.649,2.478,11.599,8.820777885,0.558215539,1.317099959,0.084293109
53.40571546,254,50.2,32.9,32,344.837,29.55,9.853,1.567,3.75,25.745,1.575,8.768,63.48471949,3.916096028,3.920961301,0.285424969
19.72754276,272,22.3,12.5,32,248.278,30.918,3.642,1.755,9.355,78.666,2.337,5.309,32.73709376,1.983755754,1.875259399,0.15051548
9.874014135,330,18.3,12.2,18,452.74,18.517,64.706,1.4,14.414,35.76,2.051,18.317,5.728116457,0.421228409,4.049919986,0.198998769
13.94038718,104,34,17.3,35,140.435,37.563,56.479,1.293,8.885,26.608,2.217,5.562,0.964088734,0.077023178,1.133061913,0.126058768
23.38420567,248,38.8,30.2,31,487.136,30.262,18.025,1.566,14.973,45.347,1.729,7.61,29.03882958,1.705669698,3.322034939,0.200741677
41.07344054,260,36,18.6,20,262.811,23.522,50.986,1.835,12.026,72.401,2.089,8.157,74.59372563,4.784299033,7.751864409,0.510645926
20.93618765,329,29.4,19.3,18,399.747,15.63,68.705,2.105,10.324,74.154,1.596,9.144,32.64947662,1.709977826,6.229452026,0.229800175
7.876677251,496,20.9,15.2,19,227.185,18.6,19.848,2.027,3.427,67.651,2.308,12.747,17.32735531,0.922170888,2.020303219,0.129588315
68.71863157,362,52.9,34.4,23,127.304,21.356,5.494,2.18,9.874,42.258,2.132,19.015,114.6906461,6.739543768,16.60472256,0.876584089
53.96906689,213,58.9,45.9,21,466.983,22.111,60.904,1.219,14.632,8.426,1.444,11.367,31.89100798,2.298681428,10.87298325,0.5831554
40.94028475,398,59.1,46.5,32,189.863,35.635,53.861,1.789,6.366,33.975,1.677,13.333,90.0348913,4.961401825,10.6465671,0.404071558
12.10693434,486,18.3,9.4,21,467.932,16.909,28.408,1.504,2.076,32.52,2.49,18.787,19.70365749,0.794112217,1.149791218,0.050543158
18.72375294,153,33.9,21.3,29,263.678,31.033,7.303,2.271,14.473,51.487,2.48,15.383,14.63789131,1.119405911,2.31602178,0.217951672
107.0470142,305,58.8,37,34,224.035,38.306,3.042,2.175,13,67.103,2.031,16.046,193.1963094,10.46703858,14.69094062,0.954135256
21.59172386,151,56.1,49.2,23,123.876,23.322,22.534,1.511,6.021,10.138,1.476,17.843,24.50905301,2.523439567,2.449475959,0.275457425
6.26856499,272,13.8,8.5,30,315.43,28.642,31.631,2.202,3.682,51.005,1.588,7.195,9.747936122,0.590926096,0.742923774,0.032211744
8.183959848,224,26.7,14.2,23,147.557,20.3,2.116,1.531,8.005,45.144,1.481,10.121,8.897762578,0.687751794,0.626373906,0.066459356
7.405510601,159,32,26.4,24,388.956,27.427,53.921,1.405,14.192,52.819,1.369,10.513,1.441254238,0.123636062,0.797788492,0.079930874
32.43879955,365,45.7,27,21,366.951,24.682,48.512,1.918,12.794,7.291,1.873,7.699,55.99436066,3.005477863,7.739772223,0.37214656
8.306872887,124,20.3,14.4,26,196.601,30.319,65.919,1.735,11.541,18.407,1.682,17.54,5.46249411,0.527111463,0.675469342,0.057203039
90.68933729,214,57.7,35.3,20,393.093,16.197,38.09,1.342,8.884,28.676,2.12,12.774,101.8853681,6.38588861,21.76817092,0.940774906
23.50711871,384,41.1,31.4,25,223.143,22.548,53.785,2.228,9.718,20.277,1.619,6.965,46.63843959,2.549082522,3.440057313,0.236563496
82.55659121,186,59.6,44.1,35,484.685,37.25,51.426,1.685,6.173,70.581,2.46,19.688,98.35886368,7.141526681,13.16630994,0.937833188
54.44023353,189,46.9,25,23,194.307,20.929,36.169,2.288,5.303,12.662,1.611,19.495,64.76570634,5.203189156,6.200874089,0.633375031
14.6368944,138,29.6,24.5,21,340.185,18.2,59.962,2.318,7.754,28.938,2.491,13.256,12.78828575,0.992064752,1.654984261,0.094134482
77.14841749,499,54.9,40,35,304.216,35.688,64.686,1.927,11.855,74.682,2.268,5.54,192.4330535,8.773502695,27.30135668,0.844193123
42.58936802,326,44.2,34.2,21,405.329,22.565,41.396,1.505,14.665,48.322,2.498,11.803,73.48197709,3.83297899,10.64410028,0.387148943
5.8281266,246,23.3,16,26,383.814,21.643,19.836,2.133,7.43,26.468,1.783,5.239,6.485810663,0.380291843,0.931346359,0.068088044
27.07159685,457,49.8,30.1,27,448.123,22.078,20.825,1.679,6.909,33.168,1.5,9.278,44.59470655,1.897162907,4.317382041,0.188445638
27.04086859,276,33.2,17,31,187.605,28.517,61.089,2.384,12.001,53.409,1.688,15.018,36.45289647,2.420870535,5.450494546,0.354750686
22.33944484,284,44.2,28.6,18,148.638,14.804,62.33,1.657,13.403,15.475,2.121,6.337,20.30639101,1.583828271,12.47944048,0.827246332
20.3113797,469,25.4,16.1,21,486.78,25.197,64.41,1.745,13.014,52.987,2.023,13.974,49.4195317,2.183856193,7.59041242,0.254133404
43.49073031,420,56.1,45.2,22,158.307,25.182,46.74,2.016,8.756,44.958,1.6,16.403,97.64477497,5.135225908,11.66500756,0.469005159
35.2760422,445,53.2,37.3,30,330.556,25.449,5.769,2.079,2.157,58.661,1.839,11.076,33.55667965,1.480742324,3.622443747,0.216631113
24.96158968,99,48.6,39,33,204.439,28.466,36.738,2.213,9.209,73.208,1.825,10.683,10.75466949,1.050677054,4.533629469,0.446752299
82.28003687,131,58.9,39.6,25,208.857,29.712,27.301,1.487,3.025,63.505,1.779,8.201,94.72403124,9.761654588,5.334856705,0.708407036
60.97511011,227,52.9,40,28,271.269,31.474,4.667,1.766,4.317,44.123,1.653,10.982,79.15419627,5.291408449,7.631040383,0.395675505
14.22718427,353,53.8,46.5,19,240.511,22.605,66.706,1.441,2.897,55.011,1.952,9.439,27.44623616,1.787661028,3.824338247,0.161313251
48.9706033,479,44.4,24.4,18,262.496,18.493,59.918,2.098,7.921,13.787,2.449,10.97,103.8735143,5.043629916,6.570245853,0.376138872
4.404383898,195,11.8,6.2,25,217.982,22.053,40.593,1.826,13.815,18.156,2.411,6.984,5.512362396,0.397865314,1.026735699,0.065693922
71.59684523,262,44.2,22.6,30,485.389,33.981,50.187,2.189,12.544,25.969,2.31,11.797,109.0376685,6.320703697,14.68664197,0.668908671
